relations__type,relations__sentence,relations__score,relations__arguments__text,relations__arguments__location__001,relations__arguments__location__002,relations__arguments__entities__type,relations__arguments__entities__text,relations__arguments__entities__disambiguation__subtype__-,language,keywords__text,keywords__sentiment__score,keywords__sentiment__label,keywords__relevance,keywords__emotion__sadness,keywords__emotion__joy,keywords__emotion__fear,keywords__emotion__disgust,keywords__emotion__anger,entities__type,entities__text,entities__sentiment__score,entities__sentiment__label,entities__relevance,entities__emotion__sadness,entities__emotion__joy,entities__emotion__fear,entities__emotion__disgust,entities__emotion__anger,entities__disambiguation__subtype__001,entities__disambiguation__subtype__002,entities__disambiguation__subtype__003,entities__disambiguation__subtype__004,entities__disambiguation__name,entities__disambiguation__dbpedia_resource,entities__count
,,,saying,1079,1085,EventCommunication,saying,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employedBy,"All begin with stopping disease a week and one-week extension if my employer is not interested, I have resumed a few days and then saw my state doctor questioned me stop disease.","68,88%",doctor,144,150,Person,doctor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,state,138,143,GeopoliticalEntity,association,,,,,,,,,,,,,,,,,,,,,,,,,,,,
locatedAt,Shortly after I was hospitalized my employer I visited the hospital to support me.,"67,42%",I,1246,1247,Person,general counsel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,hospital,1260,1268,Organization,hospital,Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,
locatedAt,"Then I make the papers, I am standing in the pole employment after months j have called the platform pole employment and an adviser told me that as I was stopping for long illness pole employment me graduate.","52,27%",I,1308,1309,Person,general counsel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,pole,1329,1333,Location,pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,"Then I make the papers, I am standing in the pole employment after months j have called the platform pole employment and an adviser told me that as I was stopping for long illness pole employment me graduate.","46,48%",I,1308,1309,Person,general counsel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,j,1358,1359,EventCommunication,j,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partOf,"Then I make the papers, I am standing in the pole employment after months j have called the platform pole employment and an adviser told me that as I was stopping for long illness pole employment me graduate.","65,39%",called,1365,1371,EventCommunication,called,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,j,1358,1359,EventCommunication,j,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,"Then I make the papers, I am standing in the pole employment after months j have called the platform pole employment and an adviser told me that as I was stopping for long illness pole employment me graduate.","97,23%",adviser,1408,1415,Person,graduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,told,1416,1420,EventCommunication,told,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affectedBy,"Then I make the papers, I am standing in the pole employment after months j have called the platform pole employment and an adviser told me that as I was stopping for long illness pole employment me graduate.","96,29%",me,1421,1423,Person,general counsel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,told,1416,1420,EventCommunication,told,,,,,,,,,,,,,,,,,,,,,,,,,,,,
basedIn,End of December contract 2014.Fév-March 2015 employer employment pole them if not bothering me off for employeur.,"29,28%",employer,1671,1679,Organization,association,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,pole,1691,1695,Location,pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,
locatedAt,End of December contract 2014.Fév-March 2015 employer employment pole them if not bothering me off for employeur.,"36,80%",them,1696,1700,Person,them,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,pole,1691,1695,Location,pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hasAttribute,Even if I was previously a part-time already not easy (854eur-930euro) but the impact of the disease is immense financially since the moment jai 470euro if my parents could not help me I would have found debt or the restaurant heart see even the street.,"57,60%",I,1858,1859,Person,general counsel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,disease,1943,1950,HealthCondition,disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,"All begin with stopping disease a week and one-week extension if my employer is not interested, I have resumed a few days and then saw my state doctor questioned me stop disease.","93,18%",doctor,144,150,Person,doctor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,questioned,151,161,EventCommunication,questioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affectedBy,"All begin with stopping disease a week and one-week extension if my employer is not interested, I have resumed a few days and then saw my state doctor questioned me stop disease.","62,84%",me,162,164,Person,doctor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,questioned,151,161,EventCommunication,questioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ownerOf,"Because contract state CAR (contract adult Relay part-time 3ans) End 2014 end of my contract my employer told me have a project for me, I told him not to renew my contract and give me the means to find something else to continue to evolve as rehabilitated 100m Square locker and rearrange, dealing with volunteers, manager colleagues in CUI (single contract insert) and receive packages, sort, store and host and manage the public for distributions dress I felt more physical force and moral.","53,70%",state,196,201,GeopoliticalEntity,association,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CAR,202,205,Vehicle,CAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,"Because contract state CAR (contract adult Relay part-time 3ans) End 2014 end of my contract my employer told me have a project for me, I told him not to renew my contract and give me the means to find something else to continue to evolve as rehabilitated 100m Square locker and rearrange, dealing with volunteers, manager colleagues in CUI (single contract insert) and receive packages, sort, store and host and manage the public for distributions dress I felt more physical force and moral.","95,36%",employer,275,283,Organization,association,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,told,284,288,EventCommunication,told,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affectedBy,"Because contract state CAR (contract adult Relay part-time 3ans) End 2014 end of my contract my employer told me have a project for me, I told him not to renew my contract and give me the means to find something else to continue to evolve as rehabilitated 100m Square locker and rearrange, dealing with volunteers, manager colleagues in CUI (single contract insert) and receive packages, sort, store and host and manage the public for distributions dress I felt more physical force and moral.","59,34%",me,289,291,Person,doctor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,told,284,288,EventCommunication,told,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,"Because contract state CAR (contract adult Relay part-time 3ans) End 2014 end of my contract my employer told me have a project for me, I told him not to renew my contract and give me the means to find something else to continue to evolve as rehabilitated 100m Square locker and rearrange, dealing with volunteers, manager colleagues in CUI (single contract insert) and receive packages, sort, store and host and manage the public for distributions dress I felt more physical force and moral.","99,21%",I,315,316,Person,doctor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,told,317,321,EventCommunication,told,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affectedBy,"Because contract state CAR (contract adult Relay part-time 3ans) End 2014 end of my contract my employer told me have a project for me, I told him not to renew my contract and give me the means to find something else to continue to evolve as rehabilitated 100m Square locker and rearrange, dealing with volunteers, manager colleagues in CUI (single contract insert) and receive packages, sort, store and host and manage the public for distributions dress I felt more physical force and moral.","68,13%",him,322,325,Person,doctor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,told,317,321,EventCommunication,told,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affectedBy,"Because contract state CAR (contract adult Relay part-time 3ans) End 2014 end of my contract my employer told me have a project for me, I told him not to renew my contract and give me the means to find something else to continue to evolve as rehabilitated 100m Square locker and rearrange, dealing with volunteers, manager colleagues in CUI (single contract insert) and receive packages, sort, store and host and manage the public for distributions dress I felt more physical force and moral.","64,04%",me,689,691,Person,doctor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,gave,684,688,EventCommunication,told,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parentOf,"I take my shower then in order to be ready for the nurse, must be before 12h.Elle is for almost a year And a half for care due to operation disease Verneuil.Vers 1:00 PM I dejeune with my son 16ans.mon old small pleasure is to watch the movie after noon after eating.","78,12%",my,504,506,Person,my,,en,operation disease Verneuil.Vers,"-22,53%",negative,"91,21%","42,09%","8,44%","36,88%","5,01%","20,89%",,,,,,,,,,,,,,,,,
,,,son,507,510,Person,16ans.mon,,,immunosuppressive drugs,"-48,70%",negative,"82,29%","63,39%","3,33%","28,93%","4,53%","22,40%",,,,,,,,,,,,,,,,,
authorOf,"I take my shower then in order to be ready for the nurse, must be before 12h.Elle is for almost a year And a half for care due to operation disease Verneuil.Vers 1:00 PM I dejeune with my son 16ans.mon old small pleasure is to watch the movie after noon after eating.","71,61%",16ans.mon,511,520,Person,16ans.mon,,,big declines,"-72,81%",negative,"66,02%","50,94%","5,59%","29,11%","12,88%","17,11%",,,,,,,,,,,,,,,,,
,,,movie,556,561,TitleWork,movie,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employedBy,My entourageCertaine person as my spouse is always positive it helps beaucoupMes children for its been hard to see me ainsiEt know that some things any simple is difficult to faireLes outputs are also sometimes complicated gérerMon entourage family brother sister good some bad languages have you still dare to say that I was pretending it is very blessantQuand in 1 years after the final Safely my convene and decide on a development disability 2nd catégorieDepuis July 1 2016 I am disability 2nd catégorieMais disease not work accident so that I had a loss of salary importantePuis forcémentMédecine work and total inability to work in my job so I was dismissed in August 2016C' is very binding and stressful journey many papers to complete and fight for either handed accident work while its origin was and ultimately not its remains in maladieC ',"39,63%",children,81,89,Person,children,,en,entourage family brother,"0,00%",neutral,"90,50%","83,52%","5,87%","8,91%","4,60%","14,56%",Quantity,1 years,"0,00%",neutral,"1,00%",,,,,,,,,,,,1
,,,its,94,97,Organization,its,,,salary importantePuis forcémentMédecine,"0,00%",neutral,"85,14%","83,52%","5,87%","8,91%","4,60%","14,56%",,,,,,,,,,,,,,,,,
partOfMany,My entourageCertaine person as my spouse is always positive it helps beaucoupMes children for its been hard to see me ainsiEt know that some things any simple is difficult to faireLes outputs are also sometimes complicated gérerMon entourage family brother sister good some bad languages have you still dare to say that I was pretending it is very blessantQuand in 1 years after the final Safely my convene and decide on a development disability 2nd catégorieDepuis July 1 2016 I am disability 2nd catégorieMais disease not work accident so that I had a loss of salary importantePuis forcémentMédecine work and total inability to work in my job so I was dismissed in August 2016C' is very binding and stressful journey many papers to complete and fight for either handed accident work while its origin was and ultimately not its remains in maladieC ',"68,62%",brother,249,256,Person,brother,,,Safely my convene,"0,00%",neutral,"62,80%","83,52%","5,87%","8,91%","4,60%","14,56%",,,,,,,,,,,,,,,,,
,,,family,242,248,Person,family,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partOfMany,My entourageCertaine person as my spouse is always positive it helps beaucoupMes children for its been hard to see me ainsiEt know that some things any simple is difficult to faireLes outputs are also sometimes complicated gérerMon entourage family brother sister good some bad languages have you still dare to say that I was pretending it is very blessantQuand in 1 years after the final Safely my convene and decide on a development disability 2nd catégorieDepuis July 1 2016 I am disability 2nd catégorieMais disease not work accident so that I had a loss of salary importantePuis forcémentMédecine work and total inability to work in my job so I was dismissed in August 2016C' is very binding and stressful journey many papers to complete and fight for either handed accident work while its origin was and ultimately not its remains in maladieC ',"70,12%",sister,257,263,Person,sister,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,family,242,248,Person,family,,,,,,,,,,,,,,,,,,,,,,,,,,,,
siblingOf,My entourageCertaine person as my spouse is always positive it helps beaucoupMes children for its been hard to see me ainsiEt know that some things any simple is difficult to faireLes outputs are also sometimes complicated gérerMon entourage family brother sister good some bad languages have you still dare to say that I was pretending it is very blessantQuand in 1 years after the final Safely my convene and decide on a development disability 2nd catégorieDepuis July 1 2016 I am disability 2nd catégorieMais disease not work accident so that I had a loss of salary importantePuis forcémentMédecine work and total inability to work in my job so I was dismissed in August 2016C' is very binding and stressful journey many papers to complete and fight for either handed accident work while its origin was and ultimately not its remains in maladieC ',"47,09%",brother,249,256,Person,brother,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,sister,257,263,Person,sister,,,,,,,,,,,,,,,,,,,,,,,,,,,,
colleague,"is pas.facileHonnêtement my spouse know Not read or write and despite me my status I do all steps only this was long and indeed I stop fighting for me that my folder back in ATVoilà was hard months work accident February 10, 2015 implementation disease June 30, 2015 draws on disability July 1, 2016","27,57%",my,876,878,Person,sister,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,spouse,879,885,Person,spouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,"is pas.facileHonnêtement my spouse know Not read or write and despite me my status I do all steps only this was long and indeed I stop fighting for me that my folder back in ATVoilà was hard months work accident February 10, 2015 implementation disease June 30, 2015 draws on disability July 1, 2016","45,05%",me,921,923,Person,sister,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,write,903,908,EventCommunication,write,,,,,,,,,,,,,,,,,,,,,,,,,,,,
locatedAt,"is pas.facileHonnêtement my spouse know Not read or write and despite me my status I do all steps only this was long and indeed I stop fighting for me that my folder back in ATVoilà was hard months work accident February 10, 2015 implementation disease June 30, 2015 draws on disability July 1, 2016","57,12%",my,1007,1009,Person,sister,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ATVoilà,1025,1032,GeopoliticalEntity,ATVoilà,,,,,,,,,,,,,,,,,,,,,,,,,,,,
timeOf,"is pas.facileHonnêtement my spouse know Not read or write and despite me my status I do all steps only this was long and indeed I stop fighting for me that my folder back in ATVoilà was hard months work accident February 10, 2015 implementation disease June 30, 2015 draws on disability July 1, 2016","86,84%","February 10, 2015",1063,1080,Date,"February 10, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,accident,1054,1062,NaturalDisaster,accident,,,,,,,,,,,,,,,,,,,,,,,,,,,,
timeOf,"is pas.facileHonnêtement my spouse know Not read or write and despite me my status I do all steps only this was long and indeed I stop fighting for me that my folder back in ATVoilà was hard months work accident February 10, 2015 implementation disease June 30, 2015 draws on disability July 1, 2016","55,36%","June 30, 2015",1104,1117,Date,"June 30, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,accident,1054,1062,NaturalDisaster,accident,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,1) When the confirmation of my illness .... Not enough info from the Specialist concerned me simply confirmed my illness and proposed a first treatment ... And after how I live with this disease? ?,"35,50%",my,28,30,Person,myself,,en,disability pension,"-68,83%",negative,"91,89%","33,19%","2,64%","3,34%","43,58%","13,57%",,,,,,,,,,,,,,,,,
,,,confirmation,12,24,EventPersonnel,confirmation,,,CPAM disability pension,"-72,12%",negative,"87,47%","27,96%","8,70%","7,11%","29,38%","9,74%",,,,,,,,,,,,,,,,,
hasAttribute,1) When the confirmation of my illness .... Not enough info from the Specialist concerned me simply confirmed my illness and proposed a first treatment ... And after how I live with this disease? ?,"62,25%",I,170,171,Person,myself,,,Physician job,"-78,23%",negative,"76,10%","14,68%","17,44%","9,41%","6,19%","9,01%",,,,,,,,,,,,,,,,,
,,,disease,187,194,HealthCondition,disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hasAttribute,1) When the confirmation of my illness .... Not enough info from the Specialist concerned me simply confirmed my illness and proposed a first treatment ... And after how I live with this disease? ?,"88,42%",my,364,366,Person,myself,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,disease,400,407,HealthCondition,disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,"What are its developments in the near future, distant and disadvantages in the life of all days (professional or not)???2) During the validation of my inability to my workstation because of crippling disease .... Not enough info from the Physician job .... I said unfit and after is what I get?","99,53%",I,457,458,Person,myself,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,said,459,463,EventCommunication,speaking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,"What are its developments in the near future, distant and disadvantages in the life of all days (professional or not)???2) During the validation of my inability to my workstation because of crippling disease .... Not enough info from the Physician job .... I said unfit and after is what I get?","50,09%",me,686,688,Person,myself,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,speaking,719,727,EventCommunication,speaking,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,And who can advise me to see who?,"92,77%",who,951,954,Person,myself,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,advise,959,965,EventCommunication,advise,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affectedBy,And who can advise me to see who?,"84,60%",me,966,968,Person,myself,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,advise,959,965,EventCommunication,advise,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,"Towards can I turn to enable me to bounce back professionally, if I am declared invalid the 1st degree?","95,58%",I,1422,1423,Person,myself,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,declared,1427,1435,EventCommunication,declared,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,"??3) I have had myself down for the creation of my files ""CPAM disability pension"" and ""disability worker"" .... I was ""delivered to myself"" for all my efforts ..... I would have liked to be accompanied by a Professional who advised me on the steps to perform and when enabling perform!","99,22%",who,1679,1682,Person,.... I,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,advised,1683,1690,EventCommunication,advised,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affectedBy,"??3) I have had myself down for the creation of my files ""CPAM disability pension"" and ""disability worker"" .... I was ""delivered to myself"" for all my efforts ..... I would have liked to be accompanied by a Professional who advised me on the steps to perform and when enabling perform!","83,04%",me,1691,1693,Person,myself,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,advised,1683,1690,EventCommunication,advised,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,en,insurance annuity,"0,00%",neutral,"97,64%","4,88%","2,87%","7,58%","12,48%","12,97%",Company,moisJe,"0,00%",neutral,"73,28%","4,88%","2,87%","7,58%","12,48%","12,97%",,,,,,,1
,,,,,,,,,,rate incapacitéde,"0,00%",neutral,"96,48%","29,06%","33,47%","3,30%","35,18%","4,84%",,,,,,,,,,,,,,,,,
,,,,,,,,,,disability pension,"0,00%",neutral,"93,42%","29,06%","33,47%","3,30%","35,18%","4,84%",,,,,,,,,,,,,,,,,
partOfMany,"Quon n ėvite I pr ###moving pr documents deposits folder or most of the time I am poorly received when I am on the little j d energie have and that I certainly wasted my papers, but in front of people who understand not my physical, moral mental in addition to suffer their nonchalance.","63,85%",my,583,585,Person,person,,en,information pr,"53,12%",positive,"94,64%","9,76%","23,54%","7,15%","9,15%","10,78%",Person,j,"-46,36%",negative,"69,16%","85,25%","5,47%","8,62%","7,41%","6,01%",,,,,,,1
,,,their,631,636,Person,their,,,complete folder,"53,12%",positive,"91,61%","9,76%","23,54%","7,15%","9,15%","10,78%",,,,,,,,,,,,,,,,,
employedBy,As for Aah pay by the caf or simplify d certificate request that we do not ask the people at RSA What is the same thing ca tt for the world.,"54,52%",people,733,739,Person,people,,,Aah pay,"65,61%",positive,"90,04%","12,44%","45,92%","10,15%","21,43%","10,72%",,,,,,,,,,,,,,,,,
,,,RSA,743,746,Organization,RSA,Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,en,great thing,"0,00%",neutral,"99,63%","49,09%","40,04%","8,06%","2,78%","5,03%",Company,fatigueLes,"0,00%",neutral,"33,00%","49,09%","40,04%","8,06%","2,78%","5,03%",,,,,,,1
,,,,,,,,,,parking card,"0,00%",neutral,"91,03%","45,51%","1,68%","4,99%","14,83%","21,38%",,,,,,,,,,,,,,,,,
,,,,,,,,,,folder mdpb,"0,00%",neutral,"90,42%","45,51%","1,68%","4,99%","14,83%","21,38%",,,,,,,,,,,,,,,,,
,,,,,,,,,en,Luni,"-22,61%",negative,"99,15%","27,58%","22,34%","2,16%","0,94%","5,22%",,,,,,,,,,,,,,,,,
managerOf,Nil-Are you an annuity from your private insurer?,"35,38%",your,572,576,Person,your,,en,non professional accident,"-73,49%",negative,"90,45%","44,54%","5,67%","38,81%","12,00%","11,78%",Organization,CPAM,"-88,34%",negative,"79,26%","26,11%","7,95%","6,30%","26,45%","8,77%",,,,,,,1
,,,insurer,585,592,Organization,insurer,Commercial,,-In job search,"0,00%",neutral,"79,82%","17,09%","15,64%","8,54%","6,99%","8,99%",,,,,,,,,,,,,,,,,
partOf,"OuiSi yes, are you:-In job search?-Working in the same company or another company?","57,36%",company,715,722,Organization,company,,,non-occupational illness,"-73,65%",negative,"61,98%","64,95%","2,39%","25,07%","3,98%","8,04%",,,,,,,,,,,,,,,,,
,,,company,734,741,Organization,insurer,Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,
partOfMany,-* What is your family situation?,"47,72%",your,1018,1022,Person,your,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,family,1023,1029,Person,family,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employedBy,Then 2nd convening by the Doctor of the Cpam who decides to put me in Disability from 2017 with a payment of the disability pension on May.,"68,92%",Doctor,1268,1274,Person,Doctor,,en,lymphoma marginal areas,"-57,86%",negative,"95,79%","11,33%","7,27%","2,82%","5,21%","4,98%",JobTitle,Doctor,"-74,90%",negative,"80,10%","26,13%","3,00%","9,08%","21,36%","18,60%",,,,,,,2
,,,Cpam who,1282,1290,Organization,Cpam who,,,retroarticular antibiotic 5jours,"-63,79%",negative,"79,98%","46,31%","2,31%","50,31%","3,47%","4,00%",,,,,,,,,,,,,,,,,
participantIn,"In virtually the same time I receive favourable response (egg) to my use of Mdph (I have still not seen this allowance because between the cpam cif, administrative C very complicated) so I am awaiting payment of this HAAs since Feb 2016 and it bothers person to me who did not share the energy to return to debate with each other by telephone C already complicated.","79,06%",who,1647,1650,Person,who,,,primitive interstitial nephropathy,"-60,43%",negative,"78,02%","8,63%","10,97%","2,98%","2,99%","4,95%",,,,,,,,,,,,,,,,,
,,,debate,1689,1695,EventMeeting,debate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partOfMany,With my relatives my mom has been relieved of my implementation disability often LED my state of fatigue.,"39,38%",mom,1769,1772,Person,mom,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,relatives,1756,1765,Person,relatives,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parentOf,With my relatives my mom has been relieved of my implementation disability often LED my state of fatigue.,"51,06%",mom,1769,1772,Person,mom,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,my,1766,1768,Person,who,,,,,,,,,,,,,,,,,,,,,,,,,,,,
managerOf,-Are you today by the compensation for your Social Security disability?-A what rate / what amount?,"49,69%",your,39,43,Person,your,,en,disability category,"-74,14%",negative,"96,69%","24,17%","18,77%","4,90%","13,90%","5,14%",,,,,,,,,,,,,,,,,
,,,Social Security,44,59,Organization,Social Security,Government,,implementation disability category,"-79,69%",negative,"86,79%","23,93%","20,51%","5,47%","13,29%","5,38%",,,,,,,,,,,,,,,,,
participantIn,"What did you do to this occasion (additional medical visits, interviews, statements, etc.)?Yes my disability category 1 I was only 287.","86,89%",you,562,565,Person,Your,,,diagnostic rheumatism psoriasique.octobre,"-79,69%",negative,"82,85%","23,93%","20,51%","5,47%","13,29%","5,38%",,,,,,,,,,,,,,,,,
,,,interviews,614,624,EventMeeting,interviews,,,,,,,,,,,,,,,,,,,,,,,,,,,,
employedBy,I spent a new visit with the doctor of the RSI which has seen my new radios.,"62,42%",doctor,917,923,Person,doctor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,RSI which,931,940,Organization,RSI which,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,"When the doctor told me the new after the scanner I was extending in a box emergencies morphine, I was very scared, I felt I lost my legs, the back pain was unbearable, I thought was the mother of my daughter who was pregnant, I was very afraid to not be able to walk.","99,26%",doctor,9,15,Person,specialist,,en,ais specialist spine,"0,00%",neutral,"93,20%","22,63%","9,47%","20,52%","1,30%","6,00%",Drug,morphine,"-73,40%",negative,"71,95%","13,26%","19,52%","37,41%","3,59%","9,82%",,,,,,,1
,,,told,16,20,EventCommunication,write,,,stranger relishing specialist,"0,00%",neutral,"86,14%","3,33%","53,98%","28,45%","19,05%","5,14%",,,,,,,,,,,,,,,,,
agentOf,"When the doctor told me the new after the scanner I was extending in a box emergencies morphine, I was very scared, I felt I lost my legs, the back pain was unbearable, I thought was the mother of my daughter who was pregnant, I was very afraid to not be able to walk.","94,44%",doctor,278,284,Person,specialist,,,scanner emergencies,"0,00%",neutral,"69,90%","25,64%","1,75%","50,62%","9,88%","27,72%",,,,,,,,,,,,,,,,,
,,,told,285,289,EventCommunication,write,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,"When the doctor told me the new after the scanner I was extending in a box emergencies morphine, I was very scared, I felt I lost my legs, the back pain was unbearable, I thought was the mother of my daughter who was pregnant, I was very afraid to not be able to walk.","60,17%",doctor,2173,2179,Person,specialist,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,write,2264,2269,EventCommunication,write,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affectedBy,"When the doctor told me the new after the scanner I was extending in a box emergencies morphine, I was very scared, I felt I lost my legs, the back pain was unbearable, I thought was the mother of my daughter who was pregnant, I was very afraid to not be able to walk.","91,17%",me,21,23,Person,daughter,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,told,16,20,EventCommunication,write,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affectedBy,"When the doctor told me the new after the scanner I was extending in a box emergencies morphine, I was very scared, I felt I lost my legs, the back pain was unbearable, I thought was the mother of my daughter who was pregnant, I was very afraid to not be able to walk.","86,13%",me,290,292,Person,daughter,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,told,285,289,EventCommunication,write,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affectedBy,"When the doctor told me the new after the scanner I was extending in a box emergencies morphine, I was very scared, I felt I lost my legs, the back pain was unbearable, I thought was the mother of my daughter who was pregnant, I was very afraid to not be able to walk.","80,59%",me,346,348,Person,daughter,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,told,341,345,EventCommunication,write,,,,,,,,,,,,,,,,,,,,,,,,,,,,
affectedBy,"When the doctor told me the new after the scanner I was extending in a box emergencies morphine, I was very scared, I felt I lost my legs, the back pain was unbearable, I thought was the mother of my daughter who was pregnant, I was very afraid to not be able to walk.","84,06%",me,647,649,Person,daughter,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,told,642,646,EventCommunication,write,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parentOf,"When the doctor told me the new after the scanner I was extending in a box emergencies morphine, I was very scared, I felt I lost my legs, the back pain was unbearable, I thought was the mother of my daughter who was pregnant, I was very afraid to not be able to walk.","69,78%",my,197,199,Person,my,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,daughter,200,208,Person,daughter,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parentOf,"When the doctor told me the new after the scanner I was extending in a box emergencies morphine, I was very scared, I felt I lost my legs, the back pain was unbearable, I thought was the mother of my daughter who was pregnant, I was very afraid to not be able to walk.","75,08%",my,1940,1942,Person,my,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,daughter,1943,1951,Person,daughter,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agentOf,"When the doctor told me the result of my fall, she was very direct, she told me that it was m'opéré emergency and for this see a specialist as soon as possible, I was térrifier and I have cried I was very sad, I had the impression that my life had just ecroulé, it was the toughest tests of my vie.ensuite when I view ais specialist spine neurosurgeon, has the irm control told me it was worse than the scanner emergencies and that it had to be m'opère emergency, it was Friday, I accept because I had French too bad pain made me crazy,","98,13%",she,337,340,Person,daughter,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,told,341,345,EventCommunication,write,,,,,,,,,,,,,,,,,,,,,,,,,,,,
